@relation box

@attribute Latitude numeric
@attribute Longitude numeric
@attribute Price numeric

@data
0.871455,0.20077,10.312172
0.415678,0.150719,10.312172
0.703239,1.522912,6.744983
0.976725,1.704681,14.977561
0.905372,2.586065,21.928597
0.320276,2.067014,6.744983
0.620399,3.762721,21.928597
0.035018,3.473783,21.928597
0.372787,4.597242,6.934066
0.479758,4.613413,6.934066
0.781553,5.998557,8.302852
0.306495,5.252078,8.302852
0.305069,6.305436,18.503039
0.466054,6.878782,25.566314
0.659963,7.666501,14.774616
0.065727,7.144626,25.566314
0.461319,8.289708,14.774616
0.373595,8.549467,14.774616
0.078929,9.981023,13.815766
0.755094,9.211921,21.928597
1.375789,0.109738,10.312172
1.25667,0.829143,14.977561
1.687255,1.699382,14.977561
1.829348,1.317908,14.977561
1.486045,2.777806,21.928597
1.401515,2.798624,21.928597
1.986774,3.367489,6.744983
1.880134,3.012513,6.744983
1.900569,4.943689,13.936296
1.435248,4.95065,13.936296
1.275353,5.720444,8.302852
1.43816,5.791023,13.936296
1.728534,6.893878,13.815766
1.542588,6.358468,13.936296
1.353195,7.283025,15.282115
1.357062,7.630163,15.282115
1.271116,8.199635,21.928597
1.397334,8.800934,21.928597
1.188383,9.190768,13.815766
1.891434,9.347468,13.815766
2.205442,0.390112,10.312172
2.393103,0.726794,13.815766
2.280916,1.569135,13.936296
2.14167,1.101276,13.815766
2.182876,2.671611,6.744983
2.559922,2.893761,6.744983
2.174204,3.150889,6.744983
2.661156,3.817574,21.928597
2.426223,4.739287,13.936296
2.841596,4.42703,8.302852
2.789259,5.213215,13.936296
2.583385,5.504648,14.977561
2.961415,6.091856,14.977561
2.007088,6.262983,13.936296
2.825538,7.219387,13.815766
2.73213,7.678606,13.815766
2.696425,8.957231,14.977561
2.009729,8.455081,21.928597
2.103475,9.054737,8.302852
2.760877,9.816054,14.977561
3.088293,0.739154,29.670438
3.718397,0.889216,29.670438
3.105835,1.430699,13.936296
3.309353,1.350347,13.936296
3.091506,2.864708,16.444556
3.624588,2.966113,29.670438
3.342111,3.672935,14.977561
3.227119,3.532744,21.928597
3.091601,4.596973,8.302852
3.467017,4.061211,14.977561
3.98158,5.942268,18.359319
3.327977,5.746121,18.359319
3.370964,6.650214,14.977561
3.98317,6.832286,15.282115
3.010987,7.708425,13.815766
3.636784,7.021908,13.815766
3.428863,8.678815,21.278708
3.703128,8.376196,21.278708
3.57495,9.593701,13.936296
3.41966,9.014584,21.278708
4.206793,0.383332,6.744983
4.708093,0.989988,10.312172
4.814551,1.491588,10.312172
4.868824,1.040781,10.312172
4.348864,2.881634,29.670438
4.47813,2.693577,8.862509
4.226991,3.451347,14.977561
4.358417,3.727354,14.977561
4.17281,4.735175,8.302852
4.567959,4.215424,14.977561
4.008348,5.963282,18.359319
4.026546,5.393745,8.302852
4.305571,6.609618,21.928597
4.666227,6.066373,21.928597
4.179219,7.40705,15.282115
4.738905,7.934246,20.551892
4.599201,8.073159,14.977561
4.516564,8.97745,68.05988
4.54209,9.218367,68.05988
4.75293,9.613976,68.05988
5.791447,0.372272,56.335827
5.591586,0.368722,6.744983
5.937286,1.612108,45.879946
5.239369,1.193693,10.312172
5.634405,2.910943,14.728321
5.605995,2.363211,14.728321
5.877854,3.947654,14.774616
5.920571,3.472609,14.774616
5.022821,4.204533,8.302852
5.737164,4.995654,8.302852
5.909801,5.064887,8.302852
5.844806,5.904718,14.977561
5.802024,6.24164,14.977561
5.826461,6.728171,14.977561
5.399855,7.219078,20.551892
5.353768,7.346686,20.551892
5.043215,8.294371,20.551892
5.461412,8.218926,20.551892
5.217016,9.183981,50.817035
5.059978,9.625883,50.817035
6.507298,0.728964,56.335827
6.41418,0.208643,56.335827
6.419265,1.561647,45.879946
6.670762,1.179578,56.335827
6.263211,2.540474,16.444556
6.265288,2.927741,16.444556
6.702572,3.178209,16.444556
6.457299,3.76588,14.774616
6.375449,4.994716,14.728321
