@relation InstanceResultListener

@attribute Key_Dataset {hs2012}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.REPTree}
@attribute Key_Scheme_options {'-M 2 -V 0.001 -N 3 -S 1 -L -1'}
@attribute Key_Scheme_version_ID {-9216785998198681299}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute Correlation_coefficient numeric
@attribute Number_unclassified numeric
@attribute Percent_unclassified numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary string
@attribute measureTreeSize numeric

@data

hs2012,1,1,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1',-9216785998198681299,20151213.0113,1046,117,267783.077386,424527.366398,56.373808,64.325706,0.742533,0,0,724.761288,2808.095162,-2083.333874,6.194541,24.000813,-17.806272,0.004,0.007,0,0.015625,14845,56747,7510,?,101
hs2012,1,2,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1',-9216785998198681299,20151213.0113,1046,117,321169.535346,638379.158879,57.529169,39.491501,0.929748,0,0,740.748249,3935.121112,-3194.372863,6.331182,33.633514,-27.302332,0.002,0.004,0,0.015625,15545,56747,7510,?,107
hs2012,1,3,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1',-9216785998198681299,20151213.0113,1046,117,231581.510559,330172.55016,54.466016,66.001053,0.689352,0,0,712.558393,2792.656542,-2080.098148,6.090243,23.868859,-17.778617,0.002,0.003,0,0,16795,56747,7510,?,117
hs2012,1,4,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1',-9216785998198681299,20151213.0113,1047,116,292432.488757,460115.29004,63.463261,73.263011,0.676762,0,0,728.931561,2847.230363,-2118.298802,6.283893,24.545089,-18.261197,0.001,0.002,0,0,13120,56800,7457,?,87
hs2012,1,5,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1',-9216785998198681299,20151213.0113,1047,116,287671.111736,588895.99706,51.959792,37.07892,0.928808,0,0,722.577336,3890.927289,-3168.349953,6.229115,33.542477,-27.313362,0.001,0.002,0,0,14095,56800,7457,?,95
hs2012,1,6,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1',-9216785998198681299,20151213.0113,1047,116,177972.681144,261061.593426,20.084671,8.944317,0.995989,0,0,726.33061,2761.256186,-2034.925575,6.261471,23.803933,-17.542462,0.002,0.002,0.015625,0,15345,56800,7457,?,105
hs2012,1,7,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1',-9216785998198681299,20151213.0113,1047,116,235090.315569,365802.269109,29.795932,14.352482,0.989568,0,0,730.464659,1699.317009,-968.85235,6.297109,14.649285,-8.352175,0.001,0.002,0,0,15070,56800,7457,?,103
hs2012,1,8,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1',-9216785998198681299,20151213.0113,1047,116,464108.492243,1425553.898803,117.435194,286.738744,0.159666,0,0,716.678857,3681.651601,-2964.972744,6.178266,31.738376,-25.56011,0.001,0.002,0,0.015625,9195,56800,7457,?,57
hs2012,1,9,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1',-9216785998198681299,20151213.0113,1047,116,263290.575597,420968.516606,43.345008,26.882659,0.963248,0,0,730.724622,3873.721285,-3142.996663,6.29935,33.394149,-27.094799,0.001,0.002,0,0,13520,56800,7457,?,91
hs2012,1,10,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1',-9216785998198681299,20151213.0113,1047,116,232374.7836,381826.930836,35.701097,18.249561,0.983248,0,0,719.2155,2813.607183,-2094.391682,6.200134,24.255234,-18.055101,0.001,0.002,0,0,14120,56800,7457,?,95
